org,sesi,
69612,70557,69612
69613,70558,69613
69614,70559,69614
69615,70561,69615
69617,70562,69617
69619,70563,69619
69620,70564,69620
69621,70565,69621
69622,70566,69622
69623,70567,69623
69624,70568,69624
69625,70569,69625
69626,70570,69626
69627,70572,69627
69628,70573,69628
69629,70574,69629
69630,70575,69630
69631,70577,69631
69783,70579,69783
69927,70581,69927
69928,70582,69928
69929,70583,69929
69930,70584,69930
69931,70586,69931
69932,70740,69932
70096,70741,70096
70097,70743,70097
70098,70744,70098
70099,70745,70099
70100,70746,70100
70102,70747,70102
70107,70748,70107
70108,70750,70108
70109,70754,70109
70112,70756,70112
70113,70758,70113
70115,70760,70115
70116,70761,70116
70118,70764,70118
70125,70765,70125
70127,70767,70127
70129,70768,70129
70133,70769,70133
70140,70770,70140
70145,70771,70145
70147,70772,70147
70150,70773,70150
70154,70774,70154
70155,70775,70155
70160,70776,70160
70162,70777,70162
70163,70778,70163
70168,70779,70168
70170,70780,70170
70174,70781,70174
70177,70782,70177
70178,70784,70178
70179,70785,70179
70180,70787,70180
70181,70791,70181
70182,70792,70182
70183,70794,70183
70184,70795,70184
70186,70796,70186
70187,70797,70187
70188,70799,70188
70189,70803,70189
70190,70804,70190
70191,70805,70191
70192,70807,70192
70193,70808,70193
70195,70809,70195
70196,70810,70196
70198,70811,70198
70199,70812,70199
70200,70814,70200
70201,70815,70201
70368,70817,70368
70369,70818,70369
70371,70819,70371
70373,70820,70373
70374,70821,70374
70375,70822,70375
70376,70823,70376
70377,70824,70377
70379,70826,70379
70380,70827,70380
70381,70828,70381
70384,70829,70384
70385,70830,70385
70387,70831,70387
70388,70832,70388
70392,70834,70392
70515,70836,70515
70516,70837,70516
70517,70839,70517
70518,70980,70518
70519,70983,70519
70520,70984,70520
70522,70985,70522
70523,71136,70523
70524,71137,70524
70525,71138,70525
70527,71139,70527
70528,71140,70528
70529,71141,70529
70531,71142,70531
70536,71143,70536
70537,71144,70537
70539,71145,70539
70540,71146,70540
70541,71147,70541
70542,71148,70542
70543,71149,70543
70546,71150,70546
70547,71151,70547
70548,71152,70548
70549,71153,70549
70551,71154,70551
70552,71155,70552
70553,71156,70553
70554,71157,70554
70555,71158,70555
70556,71159,70556
70557,71160,70557
70558,71161,70558
70559,71162,70559
70561,71163,70561
70562,71164,70562
70563,71165,70563
70564,71166,70564
70565,71167,70565
70566,71168,70566
70567,71169,70567
70568,71170,70568
70569,71171,70569
70570,71172,70570
70572,71173,70572
70573,71174,70573
70574,71175,70574
70575,71176,70575
70577,71177,70577
70579,71178,70579
70581,71179,70581
70582,71180,70582
70583,71181,70583
70584,71182,70584
70586,71183,70586
70587,71184,70587
70589,71185,70589
70590,71186,70590
70592,71187,70592
70593,71262,70593
70740,71263,70740
70741,71264,70741
70743,71265,70743
70744,71266,70744
70745,71267,70745
70746,71268,70746
70747,71269,70747
70748,71270,70748
70750,71271,70750
70754,71272,70754
70756,71273,70756
70758,71274,70758
70760,71275,70760
70761,71276,70761
70764,71277,70764
70765,71278,70765
70767,71279,70767
70768,71280,70768
70769,71281,70769
70770,71282,70770
70771,71283,70771
70772,71284,70772
70773,71285,70773
70774,71286,70774
70775,71287,70775
70776,71288,70776
70777,71289,70777
70778,71290,70778
70779,71291,70779
70780,71292,70780
70781,71293,70781
70782,71294,70782
70784,71295,70784
70785,71296,70785
70787,71335,70787
70791,71363,70791
70792,71364,70792
70794,71410,70794
70795,71411,70795
70796,71413,70796
70797,71414,70797
70799,71415,70799
70803,71416,70803
70804,71417,70804
70805,71418,70805
70807,71419,70807
70808,71420,70808
70809,71421,70809
70810,71422,70810
70811,71423,70811
70812,71424,70812
70814,71426,70814
70815,71428,70815
70817,71429,70817
70818,71432,70818
70819,71433,70819
70820,71434,70820
70821,71437,70821
70822,71439,70822
70823,71440,70823
70824,71441,70824
70826,71445,70826
70827,71446,70827
70828,71447,70828
70829,71448,70829
70830,71449,70830
70831,71450,70831
70832,71451,70832
70833,71454,70833
70834,71455,70834
70836,71456,70836
70837,71457,70837
70839,71459,70839
70980,71461,70980
70983,71462,70983
70984,71467,70984
70985,71468,70985
71135,71469,71135
71136,71472,71136
71137,71473,71137
71138,71474,71138
71139,71476,71139
71140,71477,71140
71141,71478,71141
71142,71479,71142
71143,71480,71143
71144,71481,71144
71145,71485,71145
71146,71488,71146
71147,71489,71147
71148,71491,71148
71149,71492,71149
71150,71494,71150
71151,71495,71151
71152,71496,71152
71153,71497,71153
71154,71499,71154
71155,71500,71155
71156,71503,71156
71157,71504,71157
71158,71505,71158
71159,71506,71159
71160,71507,71160
71161,71508,71161
71162,71510,71162
71163,71511,71163
71164,71512,71164
71165,71514,71165
71166,71515,71166
71167,71517,71167
71168,71717,71168
71169,71718,71169
71170,71719,71170
71171,71720,71171
71172,71721,71172
71173,71722,71173
71174,71723,71174
71175,71724,71175
71176,71725,71176
71177,71726,71177
71178,71831,71178
71179,71832,71179
71180,71833,71180
71181,71834,71181
71182,71836,71182
71183,71837,71183
71184,71838,71184
71185,71839,71185
71186,71840,71186
71187,71841,71187
71262,71896,71262
71263,71922,71263
71264,71924,71264
71265,71925,71265
71266,71926,71266
71267,71927,71267
71268,71928,71268
71269,71929,71269
71270,71930,71270
71271,71931,71271
71272,71932,71272
71273,71992,71273
71274,71997,71274
71275,72103,71275
71276,72104,71276
71277,72105,71277
71278,72106,71278
71279,72107,71279
71280,72108,71280
71281,72109,71281
71282,72110,71282
71283,72111,71283
71284,72112,71284
71285,72113,71285
71286,72114,71286
71287,72115,71287
71288,72116,71288
71289,72117,71289
71290,72119,71290
71291,72120,71291
71292,72121,71292
71293,72122,71293
71294,72123,71294
71295,72124,71295
71296,72125,71296
71335,72126,71335
71336,72127,71336
71363,72128,71363
71364,72129,71364
71365,72130,71365
71366,72131,71366
71367,72132,71367
71368,72133,71368
71410,72134,71410
71411,72135,71411
71413,72136,71413
71414,72137,71414
71415,72138,71415
71416,72141,71416
71417,72142,71417
71418,72143,71418
71419,72144,71419
71420,72145,71420
71421,72146,71421
71422,72147,71422
71423,72148,71423
71424,72191,71424
71426,72192,71426
71428,72193,71428
71429,72459,71429
71432,72460,71432
71433,72461,71433
71434,72462,71434
71437,72463,71437
71439,72464,71439
71440,72465,71440
71441,72466,71441
71445,72467,71445
71446,72468,71446
71447,72469,71447
71448,72470,71448
71449,72471,71449
71450,72472,71450
71451,72722,71451
71454,72723,71454
71455,72724,71455
71456,72725,71456
71457,72726,71457
71459,72727,71459
71461,72728,71461
71462,72729,71462
71467,72730,71467
71468,72731,71468
71469,72732,71469
71472,72733,71472
71473,72734,71473
71474,72735,71474
71476,72736,71476
71477,72737,71477
71478,72738,71478
71479,72739,71479
71480,72741,71480
71481,72742,71481
71485,72743,71485
71488,72744,71488
71489,72745,71489
71491,72746,71491
71492,72747,71492
71494,72748,71494
71495,72749,71495
71496,72750,71496
71497,72751,71497
71499,72752,71499
71500,72753,71500
71503,72754,71503
71504,72755,71504
71505,72756,71505
71506,72757,71506
71507,72758,71507
71508,72759,71508
71510,72760,71510
71511,72761,71511
71512,72762,71512
71514,72763,71514
71515,72764,71515
71516,72765,71516
71517,72766,71517
71598,72767,71598
71599,72768,71599
71600,72769,71600
71682,72770,#N/A
71717,72771,71717
71718,72772,71718
71719,72773,71719
71720,72774,71720
71721,72775,71721
71722,72776,71722
71723,72777,71723
71724,72778,71724
71725,72779,71725
71726,72780,71726
71831,72781,71831
71832,72782,71832
71833,72783,71833
71834,72784,71834
71836,72785,71836
71837,72786,71837
71838,72787,71838
71839,72788,71839
71840,72789,71840
71841,72790,71841
71842,72791,71842
71843,72792,71843
71844,72793,71844
71845,72794,71845
71846,72795,71846
71847,72796,71847
71848,72797,71848
71849,72798,71849
71850,55488,71850
71896,55494,71896
71922,57482,71922
71923,58470,71923
71924,58677,71924
71925,58681,71925
71926,68398,71926
71927,68399,71927
71928,68400,71928
71929,68401,71929
71930,68402,71930
71931,68404,71931
71932,68405,71932
71933,68406,71933
71934,68408,71934
71935,68409,71935
71936,68412,71936
71937,68464,71937
71938,68473,71938
71939,68478,71939
71940,68479,71940
71941,68480,71941
71942,68481,71942
71959,68482,71959
71992,68484,71992
71997,68485,71997
72103,68487,72103
72104,68488,72104
72105,68489,72105
72106,68490,72106
72107,68492,72107
72108,68493,72108
72109,68494,72109
72110,68495,72110
72111,68497,72111
72112,68498,72112
72113,68499,72113
72114,68500,72114
72115,68501,72115
72116,68505,72116
72117,68506,72117
72119,68507,72119
72120,68509,72120
72121,68510,72121
72122,68512,72122
72123,68514,72123
72124,68516,72124
72125,68518,72125
72126,68519,72126
72127,68847,72127
72128,68875,72128
72129,68877,72129
72130,68878,72130
72131,68879,72131
72132,68880,72132
72133,68881,72133
72134,68882,72134
72135,69564,72135
72136,69585,72136
72137,69587,72137
72138,69588,72138
72141,69589,72141
72142,69590,72142
72143,69591,72143
72144,69592,72144
72145,69593,72145
72146,69596,72146
72147,69597,72147
72148,69598,72148
72149,69599,72149
72150,69600,72150
72151,69601,72151
72152,69602,72152
72153,69603,72153
72154,69604,72154
72155,69605,72155
72156,69606,72156
72157,69607,72157
72158,69608,72158
72159,69609,72159
72160,69610,72160
72161,69611,72161
72162,69612,72162
72163,69613,72163
72164,69614,72164
72165,69615,72165
72166,69617,72166
72167,69619,72167
72168,69620,72168
72169,69621,72169
72170,69622,72170
72171,69623,72171
72172,69624,72172
72173,69625,72173
72174,69626,72174
72175,69627,72175
72176,69628,72176
72177,69629,72177
72178,69630,72178
72179,69631,72179
72180,69927,72180
72181,69928,72181
72191,69929,72191
72192,69930,72192
72193,69931,72193
72329,69932,#N/A
72459,70179,72459
72460,70180,72460
72461,70181,72461
72462,70182,72462
72463,70183,72463
72464,70184,72464
72465,70186,72465
72466,70187,72466
72467,70188,72467
72468,70189,72468
72469,70190,72469
72470,70191,72470
72471,70192,72471
72472,70193,72472
72473,70195,72473
72474,70196,72474
72475,70198,72475
72476,70199,72476
72477,70200,72477
72478,70587,72478
72479,70589,72479
72480,70590,72480
72481,70592,72481
72482,70593,72482
72483,70833,72483
72484,71135,72484
72485,71336,72485
72486,71365,72486
72487,71366,72487
72488,71516,72488
72489,71598,72489
72490,71599,72490
72491,71600,72491
72492,71842,72492
72493,71843,72493
72494,71844,72494
72495,71845,72495
72496,71846,72496
72497,71847,72497
72498,71848,72498
72499,71849,72499
72500,71850,72500
72501,71923,72501
72502,71933,72502
72503,71934,72503
72504,71935,72504
72505,71936,72505
72506,71937,72506
72507,71938,72507
72508,71939,72508
72509,71940,72509
72510,71941,72510
72511,71942,72511
72512,72149,72512
72513,72150,72513
72514,72151,72514
72515,72152,72515
72516,72153,72516
72517,72154,72517
72518,72155,72518
72519,72156,72519
72520,72157,72520
72521,72158,72521
72522,72159,72522
72523,72160,72523
72524,72161,72524
72525,72162,72525
72526,72163,72526
72527,72164,72527
72528,72165,72528
72529,72166,72529
72530,72167,72530
72531,72168,72531
72532,72169,72532
72533,72170,72533
72534,72171,72534
72535,72172,72535
72536,72173,72536
72537,72174,72537
72538,72175,72538
72722,72176,72722
72723,72177,72723
72724,72178,72724
72725,72179,72725
72726,72180,72726
72727,72181,72727
72728,72473,72728
72729,72474,72729
72730,72475,72730
72731,72476,72731
72732,72477,72732
72733,72478,72733
72734,72479,72734
72735,72480,72735
72736,72481,72736
72737,72482,72737
72738,72483,72738
72739,72484,72739
72740,72485,72740
72741,72486,72741
72742,72487,72742
72743,72488,72743
72744,72489,72744
72745,72490,72745
72746,72491,72746
72747,72492,72747
72748,72493,72748
72749,72494,72749
72750,72495,72750
72751,72496,72751
72752,72497,72752
72753,72498,72753
72754,72499,72754
72755,72500,72755
72756,72501,72756
72757,72502,72757
72758,72503,72758
72759,72504,72759
72760,72505,72760
72761,72506,72761
72762,72507,72762
72763,72508,72763
72764,72509,72764
72765,72510,72765
72766,72511,72766
72767,72512,72767
72768,72513,72768
72769,72514,72769
72770,72515,72770
72771,72516,72771
72772,72517,72772
72773,72518,72773
72774,72519,72774
72775,72520,72775
72776,72521,72776
72777,72522,72777
72778,72523,72778
72779,72524,72779
72780,72525,72780
72781,72526,72781
72782,72527,72782
72783,72528,72783
72784,72529,72784
72785,72530,72785
72786,72531,72786
72787,72532,72787
72788,72533,72788
72789,72534,72789
72790,72535,72790
72791,72536,72791
72792,72537,72792
72793,72538,72793
72794,72740,72794
72795,72799,72795
72796,72800,72796
72797,72801,72797
72798,72802,72798
72799,72803,72799
72800,72804,72800
72801,72805,72801
72802,72806,72802
72803,72807,72803
72804,72808,72804
72805,72809,72805
72806,72810,72806
72807,72811,72807
72808,72812,72808
72809,72813,72809
72810,72814,72810
72811,72815,72811
72812,72816,72812
72813,72817,72813
72814,72818,72814
72815,72819,72815
72816,62725,72816
72817,58596,72817
72818,71367,72818
72819,71368,72819
72820,71959,72820
72821,NULL,72821
72822,NULL,72822
72823,NULL,72823
72824,NULL,72824
72825,NULL,72825
72826,NULL,72826
72827,NULL,72827
72828,NULL,72828
72829,NULL,72829
72830,NULL,72830
73026,NULL,73026
73027,NULL,73027
73028,NULL,73028
73029,NULL,73029
73030,NULL,73030
73031,NULL,73031
73032,NULL,73032
73034,NULL,73034
73035,NULL,73035
73036,NULL,73036
73037,NULL,73037
73038,NULL,73038
73039,NULL,73039
73040,NULL,73040
73041,NULL,73041
73042,NULL,73042
73043,NULL,73043
73044,NULL,73044
73045,NULL,73045
73046,NULL,73046
73047,NULL,73047
73048,NULL,73048
73049,NULL,73049
73050,NULL,73050
73051,NULL,73051
73222,NULL,73222
73398,NULL,#N/A
73399,NULL,#N/A
73400,NULL,#N/A
73401,NULL,#N/A
73402,NULL,#N/A
73403,NULL,#N/A
73404,NULL,#N/A
73405,NULL,#N/A
73406,NULL,#N/A
73407,NULL,#N/A
73408,NULL,#N/A
73409,NULL,#N/A
73410,NULL,#N/A
73411,NULL,#N/A
73412,NULL,#N/A
73413,NULL,#N/A
73414,NULL,#N/A
73415,NULL,#N/A
73416,NULL,#N/A
73417,NULL,#N/A
73418,NULL,#N/A
73419,NULL,#N/A
73420,NULL,#N/A
73421,NULL,#N/A
73422,NULL,#N/A
73423,NULL,#N/A
73424,NULL,#N/A
73425,NULL,#N/A
73426,NULL,#N/A
73427,NULL,#N/A
73428,NULL,#N/A
73429,NULL,#N/A
73430,NULL,#N/A
73431,NULL,#N/A
73432,NULL,#N/A
73433,NULL,#N/A
73434,NULL,#N/A
73435,NULL,#N/A
73436,NULL,#N/A
73437,NULL,#N/A
73438,NULL,#N/A
73439,NULL,#N/A
73440,NULL,#N/A
73441,NULL,#N/A
73442,NULL,#N/A
73443,NULL,#N/A
73444,NULL,#N/A
73445,NULL,#N/A
73446,NULL,#N/A
73447,NULL,#N/A
73448,NULL,#N/A
73449,NULL,#N/A
73450,NULL,#N/A
73451,NULL,#N/A
73452,NULL,#N/A
73453,NULL,#N/A
73454,NULL,#N/A
73455,NULL,#N/A
73456,NULL,#N/A
73457,NULL,#N/A
73458,NULL,#N/A
73459,NULL,#N/A
73460,NULL,#N/A
73461,NULL,#N/A
73462,NULL,#N/A
73463,NULL,#N/A
73464,NULL,#N/A
73465,NULL,#N/A
73466,NULL,#N/A
73467,NULL,#N/A
73468,NULL,#N/A
73469,NULL,#N/A
73470,NULL,#N/A
73471,NULL,#N/A
73472,NULL,#N/A
73473,NULL,#N/A
73474,NULL,#N/A
73475,NULL,#N/A
73476,NULL,#N/A
73477,NULL,#N/A
73478,NULL,#N/A
73479,NULL,#N/A
73480,NULL,#N/A
73481,NULL,#N/A
73482,NULL,#N/A
73483,NULL,#N/A
73484,NULL,#N/A
73485,NULL,#N/A
73551,NULL,#N/A
73552,NULL,#N/A
73553,NULL,#N/A
73554,NULL,#N/A
73555,NULL,#N/A
73556,NULL,#N/A
73557,NULL,#N/A
73558,NULL,#N/A
73559,NULL,#N/A
73560,NULL,#N/A
73561,NULL,#N/A
73562,NULL,#N/A
73563,NULL,#N/A
73564,NULL,#N/A
73565,NULL,#N/A
73566,NULL,#N/A
73567,NULL,#N/A
73568,NULL,#N/A
73569,NULL,#N/A
73570,NULL,#N/A
73571,NULL,#N/A
73572,NULL,#N/A
73573,NULL,#N/A
73574,NULL,#N/A
73575,NULL,#N/A
73576,NULL,#N/A
73577,NULL,#N/A
73578,NULL,#N/A
73579,NULL,#N/A
73580,NULL,#N/A
73581,NULL,#N/A
73582,NULL,#N/A
73583,NULL,#N/A
73584,NULL,#N/A
73585,NULL,#N/A
73586,NULL,#N/A
73587,NULL,#N/A
73588,NULL,#N/A
73589,NULL,#N/A
73590,NULL,#N/A
73591,NULL,#N/A
73592,NULL,#N/A
73593,NULL,#N/A
73824,NULL,#N/A
73825,NULL,#N/A
73826,NULL,#N/A
73827,NULL,#N/A
73828,NULL,#N/A
73829,NULL,#N/A
73830,NULL,#N/A
73831,NULL,#N/A
73832,NULL,#N/A
73833,NULL,#N/A
73834,NULL,#N/A
73835,NULL,#N/A
73836,NULL,#N/A
73837,NULL,#N/A
73838,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,NULL,#N/A
,73026,#N/A
,73027,#N/A
,73028,#N/A
,73029,#N/A
,73030,#N/A
,73031,#N/A
,73032,#N/A
,73034,#N/A
,73035,#N/A
,73036,#N/A
,73037,#N/A
,73038,#N/A
,73039,#N/A
,73040,#N/A
,73041,#N/A
,73042,#N/A
,72820,#N/A
,72821,#N/A
,72822,#N/A
,72823,#N/A
,72824,#N/A
,72825,#N/A
,72826,#N/A
,72827,#N/A
,72828,#N/A
,72829,#N/A
,72830,#N/A
,73043,#N/A
,73044,#N/A
,73045,#N/A
,73046,#N/A
,73047,#N/A
,73048,#N/A
,73049,#N/A
,73050,#N/A
,73051,#N/A
,73222,#N/A
,NULL,#N/A
