npk,sub_post,post,grp,sect,dept,dept_account,division,plant
2602,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
3015,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
3152,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
3182,NULL,NULL,1-001-001-013-050,1-001-001-013,1-001-001,1-001-003,1-001,1
3198,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
3201,NULL,NULL,1-001-001-013-068,1-001-001-013,1-001-001,1-001-002,1-001,1
3349,NULL,NULL,1-001-001-009-055,1-001-001-009,1-001-001,1-001-002,1-001,1
5979,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
6092,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
6944,NULL,NULL,1-001-001-009-051,1-001-001-009,1-001-001,1-001-001,1-001,1
6947,NULL,NULL,NULL,1-001-001-009,1-001-001,1-001-001,1-001,1
6949,NULL,NULL,NULL,1-001-003-015,1-001-003,1-001-001,1-001,1
6950,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
6953,NULL,NULL,1-001-001-009-048,1-001-001-009,1-001-001,1-001-001,1-001,1
6955,NULL,NULL,1-001-003-018-054,1-001-003-018,1-001-003,1-001-003,1-001,1
6981,NULL,NULL,1-001-001-013-064,1-001-001-013,1-001-001,1-001-001,1-001,1
7010,NULL,NULL,1-001-001-009-053,1-001-001-009,1-001-001,1-001-002,1-001,1
7021,NULL,NULL,1-001-001-013-063,1-001-001-013,1-001-001,1-001-001,1-001,1
7055,NULL,NULL,1-001-002-002-003,1-001-002-002,1-001-002,1-001-001,1-001,1
7057,NULL,NULL,1-001-001-013-068,1-001-001-013,1-001-001,1-001-002,1-001,1
7058,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
7077,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
7175,NULL,NULL,1-001-003-015-047,1-001-003-015,1-001-003,1-001-003,1-001,1
7177,NULL,NULL,NULL,1-001-002-004,1-001-002,1-001-002,1-001,1
7178,NULL,NULL,1-001-002-006-031,1-001-002-006,1-001-002,1-001-001,1-001,1
7180,NULL,NULL,1-001-001-014-076,1-001-001-014,1-001-001,1-001-001,1-001,1
7201,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
7203,NULL,NULL,1-001-002-005-023,1-001-002-005,1-001-002,1-001-001,1-001,1
7207,NULL,NULL,NULL,1-001-003-018,1-001-003,1-001-003,1-001,1
7209,NULL,NULL,1-001-002-002-011,1-001-002-002,1-001-002,1-001-001,1-001,1
7210,NULL,NULL,1-001-003-016-049,1-001-003-016,1-001-003,1-001-002,1-001,1
7232,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
7263,NULL,NULL,NULL,1-001-002-003,1-001-002,1-001-001,1-001,1
7270,NULL,NULL,1-001-001-009-049,1-001-001-009,1-001-001,1-001-001,1-001,1
7271,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
7273,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
7274,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
7303,NULL,NULL,1-001-002-004-018,1-001-002-004,1-001-002,1-001-001,1-001,1
7364,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
7366,NULL,NULL,1-001-001-013-069,1-001-001-013,1-001-001,1-001-002,1-001,1
7370,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
7374,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
7376,NULL,NULL,1-001-003-018-056,1-001-003-018,1-001-003,1-001-003,1-001,1
7378,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
8818,NULL,NULL,NULL,1-001-001-014,1-001-001,1-001-001,1-001,1
9346,NULL,NULL,1-001-001-010-050,1-001-001-013,1-001-001,1-001-002,1-001,1
10004,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
10067,NULL,NULL,1-001-002-006-031,1-001-002-006,1-001-002,1-001-001,1-001,1
11756,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
11804,NULL,,1-001-001-012-048 ,1-001-001-012,1-001-001,1-001-003,1-001,1
12002,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
12162,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
12199,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
12201,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
12994,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
13002,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
13297,NULL,NULL,1-001-002-007-035,1-001-002-007,1-001-002,1-001-002,1-001,1
13314,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
13415,NULL,NULL,1-001-002-002-011,1-001-002-002,1-001-002,1-001-001,1-001,1
13419,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
13421,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
13430,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
13455,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
13456,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
13577,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
13669,NULL,NULL,1-001-001-010-050,1-001-001-013,1-001-001,1-001-002,1-001,1
13670,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
14036,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
14039,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
14149,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
14153,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
14156,NULL,NULL,1-001-002-007-040,1-001-002-007,1-001-002,1-001-002,1-001,1
14160,NULL,NULL,1-001-001-013-050,1-001-001-013,1-001-001,1-001-003,1-001,1
14413,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
14461,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
14579,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
14584,NULL,NULL,NULL,1-001-001-013,1-001-001,1-001-002,1-001,1
14585,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
14591,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
14598,NULL,NULL,1-001-002-003-015,1-001-002-003,1-001-002,1-001-001,1-001,1
14664,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
14852,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
14963,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
14989,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
15249,NULL,NULL,1-001-002-002-012,1-001-002-002,1-001-002,1-001-001,1-001,1
15389,NULL,NULL,1-001-003-016-049,1-001-003-016,1-001-003,1-001-002,1-001,1
15608,NULL,NULL,1-001-003-017-053,1-001-003-017,1-001-003,1-001-003,1-001,1
15628,NULL,NULL,1-001-002-007-037,1-001-002-007,1-001-002,1-001-002,1-001,1
15921,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
16051,NULL,NULL,1-001-003-017-051,1-001-003-017,1-001-003,1-001-003,1-001,1
16146,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
16344,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
16436,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
16623,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
16626,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
16661,NULL,NULL,NULL,NULL,1-001-002,1-001-002,1-001,1
16706,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
16803,NULL,NULL,1-001-002-002-003,1-001-002-002,1-001-002,1-001-001,1-001,1
16950,NULL,NULL,1-001-001-009-056,1-001-001-009,1-001-001,1-001-002,1-001,1
16964,NULL,NULL,1-001-003-019-058,1-001-003-019,1-001-003,1-001-003,1-001,1
17079,NULL,NULL,1-001-003-018-054,1-001-003-018,1-001-003,1-001-003,1-001,1
17233,NULL,NULL,1-001-003-016-049,1-001-003-016,1-001-003,1-001-002,1-001,1
17253,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
17270,NULL,NULL,1-001-002-008-046,1-001-002-008,1-001-002,1-001-002,1-001,1
17293,NULL,NULL,1-001-002-005-025,1-001-002-008,1-001-002,1-001-002,1-001,1
17629,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
17731,NULL,NULL,1-001-001-009-050,1-001-001-009,1-001-001,1-001-001,1-001,1
17920,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
17922,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
17935,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
18061,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
18137,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
18177,NULL,NULL,1-001-001-013-050,1-001-001-013,1-001-001,1-001-003,1-001,1
18336,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
18338,NULL,NULL,1-001-001-014-075,1-001-001-014,1-001-001,1-001-002,1-001,1
18563,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
18779,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
18784,NULL,NULL,1-001-002-004-019,1-001-002-004,1-001-002,1-001-001,1-001,1
18798,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
18802,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
18840,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
19101,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
19215,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
19391,NULL,NULL,1-001-001-009-057,1-001-001-009,1-001-001,1-001-003,1-001,1
19413,NULL,NULL,1-001-002-002-012,1-001-002-002,1-001-002,1-001-001,1-001,1
19457,NULL,NULL,1-001-001-014-075,1-001-001-014,1-001-001,1-001-001,1-001,1
19464,NULL,NULL,1-001-001-014-076,1-001-001-014,1-001-001,1-001-001,1-001,1
19479,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
19561,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
19590,NULL,NULL,1-001-003-016-050,1-001-003-016,1-001-003,1-001-002,1-001,1
19646,NULL,NULL,1-001-001-012-060,1-001-001-012,1-001-001,1-001-001,1-001,1
19654,NULL,NULL,NULL,1-001-002-001,1-001-002,1-001-001,1-001,1
20145,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
20146,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
20148,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
20269,NULL,NULL,NULL,1-001-003-016,1-001-003,1-001-001,1-001,1
20669,NULL,NULL,1-001-001-010-049,1-001-001-010,1-001-001,1-001-002,1-001,1
20819,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
20912,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
21009,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
21134,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
21295,NULL,NULL,1-001-001-013-060,1-001-001-013,1-001-001,1-001-002,1-001,1
21335,NULL,NULL,1-001-002-002-007,1-001-002-002,1-001-002,1-001-001,1-001,1
21336,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
21338,NULL,NULL,1-001-002-007-038,1-001-002-007,1-001-002,1-001-002,1-001,1
21367,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
21386,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
21529,NULL,NULL,1-001-001-012-050,1-001-001-012,1-001-001,1-001-003,1-001,1
21550,NULL,NULL,1-001-003-017-053,1-001-003-017,1-001-003,1-001-003,1-001,1
21655,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
21675,NULL,NULL,1-001-002-002-009,1-001-002-002,1-001-002,1-001-001,1-001,1
21689,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
21706,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
21714,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
21715,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
21926,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
22016,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
22023,NULL,NULL,1-001-001-010-049,1-001-001-010,1-001-001,1-001-002,1-001,1
22027,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
22028,NULL,NULL,1-001-001-010-050,1-001-001-013,1-001-001,1-001-002,1-001,1
22132,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
22189,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
22415,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
22423,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
22484,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
22669,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
22972,NULL,NULL,1-001-003-019-058,1-001-003-019,1-001-003,1-001-003,1-001,1
23084,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
23092,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
23258,NULL,NULL,1-001-003-017-051,1-001-003-017,1-001-003,1-001-003,1-001,1
23262,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
23266,NULL,NULL,1-001-002-004-018,1-001-002-004,1-001-002,1-001-001,1-001,1
23268,NULL,NULL,1-001-002-002-011,1-001-002-002,1-001-002,1-001-001,1-001,1
23274,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
23278,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
23287,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
23298,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
23305,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
23311,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
23326,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
23330,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
23332,NULL,NULL,1-001-003-016-050,1-001-003-016,1-001-003,1-001-002,1-001,1
23333,NULL,NULL,1-001-002-004-019,1-001-002-004,1-001-002,1-001-001,1-001,1
23335,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
23339,NULL,NULL,1-001-003-018-056,1-001-003-018,1-001-003,1-001-003,1-001,1
23343,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
23347,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
23353,NULL,NULL,1-001-002-006-031,1-001-002-006,1-001-002,1-001-001,1-001,1
23362,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
23367,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
23373,NULL,NULL,1-001-002-004-018,1-001-002-004,1-001-002,1-001-001,1-001,1
23374,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
23381,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
23382,NULL,NULL,1-001-003-019-057,1-001-003-019,1-001-003,1-001-003,1-001,1
23391,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
23394,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
23402,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
23411,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
23496,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
23502,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
23562,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
23575,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
23576,NULL,NULL,1-001-001-012-050,1-001-001-012,1-001-001,1-001-001,1-001,1
23769,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
23774,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
23825,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
23839,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
23847,NULL,NULL,1-001-002-003-017,1-001-002-003,1-001-002,1-001-001,1-001,1
23850,NULL,NULL,1-001-001-013-060,1-001-001-013,1-001-001,1-001-001,1-001,1
23854,NULL,NULL,1-001-001-012-047,1-001-001-012,1-001-001,1-001-001,1-001,1
23934,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
23936,NULL,NULL,1-001-001-013-069,1-001-001-013,1-001-001,1-001-002,1-001,1
23969,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
23986,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
23994,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
23997,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
24004,NULL,NULL,1-001-001-010-047,1-001-001-010,1-001-001,1-001-001,1-001,1
24007,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
24010,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24108,NULL,NULL,1-001-003-019-057,1-001-003-019,1-001-003,1-001-003,1-001,1
24110,NULL,NULL,1-001-001-009-001,1-001-002-001,1-001-002,1-001-001,1-001,1
24111,NULL,NULL,1-001-002-002-009,1-001-002-002,1-001-002,1-001-001,1-001,1
24112,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
24113,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
24114,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
24121,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
24122,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24123,NULL,NULL,1-001-002-005-025,1-001-002-008,1-001-002,1-001-002,1-001,1
24126,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
24129,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
24130,NULL,NULL,1-001-001-009-054,1-001-001-009,1-001-001,1-001-002,1-001,1
24133,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24135,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
24136,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
24138,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-002,1-001,1
24149,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
24150,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
24153,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
24158,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
24167,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
24169,NULL,NULL,1-001-003-019-057,1-001-003-019,1-001-003,1-001-003,1-001,1
24170,NULL,NULL,1-001-002-002-004,1-001-002-002,1-001-002,1-001-001,1-001,1
24176,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
24177,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24188,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
24189,NULL,NULL,1-001-001-012-048,1-001-001-012,1-001-001,1-001-002,1-001,1
24192,NULL,NULL,1-001-001-010-048,1-001-001-010,1-001-001,1-001-001,1-001,1
24214,NULL,NULL,1-001-002-002-009,1-001-002-002,1-001-002,1-001-001,1-001,1
24280,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
24288,NULL,NULL,1-001-001-013-060,1-001-001-013,1-001-001,1-001-001,1-001,1
24423,NULL,NULL,1-001-001-013-049,1-001-001-013,1-001-001,1-001-001,1-001,1
24426,NULL,NULL,1-001-002-002-003,1-001-002-002,1-001-002,1-001-001,1-001,1
24428,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
24430,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
24431,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
24436,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
24437,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
24441,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
24442,NULL,NULL,1-001-002-003-017,1-001-002-003,1-001-002,1-001-001,1-001,1
24444,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
24446,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
24450,NULL,NULL,1-001-002-004-018,1-001-002-004,1-001-002,1-001-001,1-001,1
24451,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
24457,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
24458,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
24461,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
24464,NULL,NULL,1-001-002-003-015,1-001-002-003,1-001-002,1-001-001,1-001,1
24468,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24470,NULL,NULL,1-001-001-013-050,1-001-001-013,1-001-001,1-001-003,1-001,1
24471,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
24472,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
24477,NULL,NULL,NULL,1-001-002-008,1-001-002,1-001-001,1-001,1
24482,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
24483,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
24486,NULL,NULL,1-001-003-019-058,1-001-003-019,1-001-003,1-001-003,1-001,1
24490,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
24496,NULL,NULL,1-001-002-007-039,1-001-002-007,1-001-002,1-001-002,1-001,1
24499,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
24579,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
24606,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
24607,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-001,1-001,1
24611,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
24614,NULL,NULL,1-001-002-005-025,1-001-002-008,1-001-002,1-001-001,1-001,1
24615,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
24616,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
24617,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
24620,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
24621,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
24624,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
24627,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
24631,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
24632,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
24634,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
24635,NULL,NULL,1-001-002-002-012,1-001-002-002,1-001-002,1-001-001,1-001,1
24636,NULL,NULL,1-001-001-009-047,1-001-001-014,1-001-001,1-001-002,1-001,1
24638,NULL,NULL,1-001-003-017-052,1-001-003-017,1-001-003,1-001-003,1-001,1
24642,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
24648,NULL,NULL,1-001-001-009-002,1-001-002-001,1-001-002,1-001-001,1-001,1
